0.6,47.1,-1,1,0
0.5,28.0,-1,-1,0
0.4,40.4,-1,1,0
0.7,55.1,1,-1,0
0.5,44.9,-1,-1,0
0.5,41.9,1,-1,0
0.9,41.5,-1,-1,0
0.4,31.4,-1,-1,0
0.3,17.0,-1,-1,0
0.7,45.7,1,-1,0
1.1,44.0,-1,1,0
0.9,60.1,-1,1,0
0.3,14.0,-1,1,0
4.9,14.6,-1,1,1
0.8,55.1,-1,-1,0
4.8,42.7,-1,-1,1
4.5,29.3,-1,-1,1
4.9,39.6,1,1,1
5.5,6.2,-1,-1,1
4.5,49.6,-1,1,1
4.7,50.9,1,-1,1
4.4,28.7,-1,-1,1
5.0,15.6,-1,1,1
1.1,57.5,-1,1,0
3.8,40.1,-1,1,1
1.6,17.7,1,-1,1
4.8,16.8,-1,1,1
4.8,28.3,-1,1,1
3.9,43.7,1,1,1
3.5,32.5,1,1,1
1.2,7.2,-1,1,1
3.7,22.2,-1,1,1
2.9,48.5,-1,-1,0
1.8,20.4,-1,1,1
5.2,50.3,1,-1,1
2.8,41.0,1,-1,1
4.7,26.2,-1,-1,1
5.2,54.5,-1,-1,1
3.5,53.0,1,-1,0
3.6,32.8,-1,-1,1
0.8,5.2,1,1,1
5.2,12.4,-1,1,1
4.3,60.3,1,-1,1
3.7,21.2,-1,1,1
4.3,48.5,1,-1,1
3.1,11.3,-1,1,1
1.4,26.4,-1,1,0
4.5,21.7,-1,-1,1
3.9,49.8,-1,-1,1
4.2,45.0,1,1,1
2.1,13.0,-1,1,1
3.7,5.6,1,1,1
2.0,27.8,1,-1,1
5.0,19.0,-1,-1,1
1.7,21.0,1,-1,1
2.8,10.6,-1,1,1
1.0,58.2,1,1,0
0.7,34.9,-1,1,0
2.0,42.0,-1,-1,0
1.9,42.9,1,1,0
3.2,61.8,1,1,0
4.4,26.0,1,1,1
1.7,32.3,-1,-1,0
4.7,63.5,1,1,1
5.3,51.4,-1,-1,1
4.2,53.7,-1,-1,1
2.0,30.5,1,-1,0
4.2,6.2,1,-1,1
0.4,56.9,1,-1,0
0.6,21.7,-1,-1,0
5.5,52.6,1,-1,1
1.4,53.8,-1,1,0
1.8,7.4,1,-1,1
1.5,53.0,1,1,0
3.5,64.8,1,1,0
1.8,27.0,1,-1,0
5.4,5.9,-1,1,1
1.1,22.5,1,-1,0
1.4,48.9,1,1,0
1.9,12.8,1,-1,1
0.8,45.2,1,1,0
0.7,63.7,1,1,0
1.7,29.6,-1,-1,0
3.6,6.6,-1,1,1
2.3,33.7,-1,-1,0
3.4,34.4,-1,-1,1
1.3,19.1,1,1,1
1.3,37.8,-1,-1,0
2.6,50.1,-1,1,0
2.7,16.3,-1,1,1
4.5,11.3,1,-1,1
0.2,5.3,1,-1,0
1.7,62.0,1,-1,0
1.7,50.1,1,1,0
2.5,28.9,1,1,1
1.5,14.1,-1,1,1
3.0,8.6,1,-1,1
0.6,26.4,-1,-1,0
3.7,53.7,-1,1,1
4.3,22.3,1,-1,1
2.7,31.8,-1,-1,1
3.1,30.2,1,-1,1
1.2,24.9,-1,-1,0
4.9,57.8,1,1,1
2.5,17.0,-1,-1,1
4.7,28.9,1,-1,1
4.8,21.5,-1,-1,1
2.4,57.5,1,1,0
4.4,43.0,1,-1,1
5.6,38.9,1,1,1
5.0,28.7,-1,1,1
2.6,30.6,-1,-1,1
3.3,30.0,-1,-1,1
2.0,48.0,-1,1,0
2.0,26.5,1,1,1
3.7,61.7,-1,-1,0
1.8,6.7,1,-1,1
1.7,7.3,-1,1,1
2.8,48.9,1,-1,0
4.6,64.8,1,1,1
1.3,50.0,1,-1,0
2.3,63.8,-1,1,0
5.2,63.0,-1,-1,1
